LOG_CLint_HLM,LOG_CLint_RLM,LOG_CLint_MLM
2.047936516138079,2.544068044350276,2.8750612633917
2.241372130158436,2.163757523981956,2.282927846422476
1.8260748027008264,2.5877109650189114,2.9595183769729982
1.8808135922807916,1.9637878273455556,3.130655349022031
2.1563371008708097,2.3010299956639813,2.8750612633917
2.2218574354191367,2.669009883050939,2.9622130183603903
1.379939722801916,2.171726453653231,2.1644405982026496
1.9712758487381048,2.861653870213911,2.713305697599812
1.8085485512404051,2.03342375548695,2.2459442801693057
1.8085485512404051,2.03342375548695,2.2459442801693057
1.0224283711854865,1.2966651902615312,1.9149510611278813
1.2187979981117376,1.40226138245468,1.884795363948981
1.3692158574101427,1.8350561017201164,2.3635837780361064
2.1920375027132475,2.4983105537896004,3.5386924699715308
0.5394775728051002,0.8115750058705934,1.796851749049887
1.0224283711854865,2.296665190261531,2.546974275833287
-0.2328441339178195,0.3344537511509309,0.7388598020722001
0.6720978579357175,1.354108439147401,1.2988530764097066
2.1052137415019367,2.2903017873056744,2.4069793621258824
1.8750612633917,2.3010299956639813,2.9542425094393248
1.954242509439325,3.028030080768379,2.845098040014257
0.9530344572503568,1.8260748027008264,1.8481891169913989
2.479317132685726,4.537100971663824,3.025155843875317
2.9772067159573177,3.612253906096437,4.064316820579152
1.0413926851582251,1.568201724066995,1.6720978579357175
2.4771212547196626,3.2512317155354205,3.234686817610966
2.362505093666411,1.250907699700856,2.291701770729981
2.042236764539039,2.09725730969342,2.6790915970687106
1.0,1.3747483460101038,1.6720978579357175
1.3010299956639813,1.4313637641589874,1.505149978319906
0.7781512503836436,1.6434526764861874,1.4471580313422192
1.6989700043360187,2.2749195064037537,2.0142264293892294
0.2143138974243995,1.5563025007672873,1.124210683436217
1.2041199826559248,1.568201724066995,1.9030899869919435
0.4913616938342727,1.4146391467370092,1.3729120029701063
1.1095785469043866,1.689752696139157,1.8197084098789615
2.170962476629603,2.099127927726467,2.4488562106362624
1.255272505103306,1.6232492903979006,1.7853298350107671
4.096282438558308,4.459392487759231,4.620841912576434
0.9542425094393248,1.5440680443502757,1.414973347970818
0.8692317197309762,1.414973347970818,1.8260748027008264
0.9294189257142929,1.3010299956639813,1.6532125137753435
